iter	Logloss
0	0.6697874082
5	0.5946519616
10	0.5604743959
15	0.5369496438
20	0.522049541
25	0.5132633089
30	0.5087606324
35	0.5051981951
40	0.5015214735
45	0.4990647893
50	0.4978634945
55	0.4967283322
60	0.4955018949
65	0.4942657662
70	0.4934157049
75	0.4930377137
80	0.4927688562
85	0.4925264213
90	0.4922026769
95	0.4919876093
100	0.4916810837
105	0.4913865657
110	0.4910649546
115	0.4909475619
120	0.4908032895
125	0.4906166557
130	0.4905091371
135	0.4902211714
140	0.4900407242
145	0.489913823
150	0.4898095958
155	0.4897015896
160	0.4894405644
165	0.4893377086
170	0.4892588372
175	0.4891758517
180	0.4889950693
185	0.4888917258
190	0.4888218753
195	0.4886594698
200	0.488580507
205	0.4885168126
210	0.4884631448
215	0.4883363045
220	0.4882633455
225	0.4882165651
230	0.4881364443
235	0.4880797288
240	0.4879475553
245	0.4878974531
250	0.4878528365
255	0.4878032524
260	0.4877427885
265	0.4877008233
270	0.4876463021
275	0.4875805963
280	0.4875380521
285	0.4874646664
290	0.4874227317
295	0.4873744885
300	0.4873210035
305	0.4872818116
310	0.4872303685
315	0.4871808148
320	0.4870762219
325	0.4870352015
330	0.4869950649
335	0.4869551416
340	0.4869049784
345	0.4868603619
350	0.4868240957
355	0.4867797839
360	0.4867370568
365	0.4866974383
370	0.4866563569
375	0.4866234431
380	0.4865796798
385	0.4865450898
390	0.4864984313
395	0.48645863
400	0.4864092897
405	0.4863636369
410	0.4863213365
415	0.4862773295
420	0.4862415204
425	0.4861952277
430	0.4861651176
435	0.4861303142
440	0.4861026118
445	0.4860676865
450	0.4860379421
455	0.4860093253
460	0.4859760153
465	0.4859463014
470	0.4859164656
475	0.4858817232
480	0.4858418913
485	0.4858038576
490	0.4857333366
495	0.4857034703
500	0.4856679965
505	0.4856287436
510	0.4855976583
515	0.4855644397
520	0.4855369506
525	0.4855043719
530	0.4854749018
535	0.4854427194
540	0.4854123046
545	0.4853881068
550	0.4853600386
555	0.4853303552
560	0.4853060355
565	0.4852790034
570	0.4852541047
575	0.4852259756
580	0.4851997359
585	0.485171881
590	0.4851400034
595	0.4851189141
600	0.4850918516
605	0.4850633263
610	0.485035959
615	0.4850047823
620	0.4849841501
625	0.4849606228
630	0.4849330118
635	0.4849054007
640	0.4848785211
645	0.4848507881
650	0.4848233903
655	0.4847513456
660	0.4847211136
665	0.4846916435
670	0.4846675371
675	0.4846432479
680	0.4846168254
685	0.4845904943
690	0.484565047
695	0.4845420378
700	0.4845215581
705	0.4844936423
710	0.4844695359
715	0.4844422601
720	0.48441023
725	0.4843874341
730	0.4843550993
735	0.4843315415
740	0.4843072828
745	0.4842849745
750	0.4842577596
755	0.4842268267
760	0.4841944309
765	0.4841762978
770	0.4841492048
775	0.4841106834
780	0.4840863028
785	0.4840578384
790	0.4840349511
795	0.4840101743
800	0.4839794547
805	0.4839590359
810	0.4839373981
815	0.4839127127
820	0.4838883625
825	0.4838603248
830	0.4838377118
835	0.4838143064
840	0.4837944666
845	0.4837673736
850	0.4837505205
855	0.4837315646
860	0.4837092868
865	0.4836858204
870	0.4836609826
875	0.4836432153
880	0.483622187
885	0.483595734
890	0.483570561
895	0.4835405118
900	0.4835184169
905	0.4834927867
910	0.4834715146
915	0.4834469512
920	0.4834273247
925	0.4834041936
930	0.4833858777
935	0.483369055
940	0.4833478134
945	0.4833326669
950	0.483315631
955	0.4832967055
960	0.4832791819
965	0.4832592203
970	0.4832391672
975	0.4832159142
980	0.4831910459
985	0.4831674272
990	0.483146277
995	0.4831217744
999	0.4831054089
